
Date,Client,CloudProvider,ResourceType,UsageHours,CostUSD,Region
2025-01-01,Client_7,GCP,Networking,381.34,21.02,eu-west-1
2025-01-02,Client_4,GCP,Networking,17.05,0.4,eu-west-1
2025-01-03,Client_8,Azure,Database,66.88,9.3,us-west-2
2025-01-04,Client_5,OCI,Compute,32.54,3.45,eu-west-1
2025-01-05,Client_7,GCP,Database,29.96,7.61,eu-west-1
2025-01-06,Client_10,AWS,Compute,429.18,29.79,asia-south-1
2025-01-07,Client_3,Azure,AI,354.79,68.77,us-east-1
2025-01-08,Client_7,AWS,Storage,242.35,9.35,us-west-2
2025-01-09,Client_8,AWS,Storage,57.94,5.06,us-west-2
2025-01-10,Client_5,GCP,Storage,250.89,4.57,us-west-2
2025-01-11,Client_4,Azure,Database,242.0,30.24,eu-west-1
2025-01-12,Client_8,OCI,AI,94.87,16.75,eu-west-1
2025-01-13,Client_8,OCI,Compute,222.59,14.69,eu-west-1
2025-01-14,Client_3,GCP,Networking,205.27,9.9,asia-south-1
2025-01-15,Client_6,GCP,Compute,311.77,23.48,us-east-1
2025-01-16,Client_5,Azure,Networking,321.2,16.9,eu-west-1
2025-01-17,Client_2,OCI,Compute,32.2,-1.65,us-east-1
2025-01-18,Client_8,OCI,AI,193.56,43.46,asia-south-1
2025-01-19,Client_6,OCI,Networking,316.67,20.7,us-west-2
2025-01-20,Client_2,AWS,Database,256.54,32.77,eu-west-1
2025-01-21,Client_5,OCI,Compute,429.68,34.74,us-east-1
2025-01-22,Client_1,AWS,Compute,332.76,24.72,us-east-1
2025-01-23,Client_10,Azure,Networking,89.84,7.63,eu-west-1
2025-01-24,Client_6,AWS,Database,44.58,7.2,us-west-2
2025-01-25,Client_9,Azure,Database,324.79,35.6,us-west-2
2025-01-26,Client_1,OCI,AI,22.99,8.71,us-west-2
2025-01-27,Client_10,OCI,Database,297.03,38.87,asia-south-1
2025-01-28,Client_3,Azure,Database,470.71,60.98,us-east-1
2025-01-29,Client_7,GCP,Database,291.98,37.29,us-east-1
2025-01-30,Client_4,Azure,Storage,200.2,5.14,us-east-1
2025-01-31,Client_9,GCP,AI,325.21,64.22,asia-south-1
2025-02-01,Client_3,AWS,Compute,234.54,23.09,us-east-1
2025-02-02,Client_5,AWS,Networking,277.35,17.53,asia-south-1
2025-02-03,Client_3,AWS,Compute,471.32,33.16,us-west-2
2025-02-04,Client_7,OCI,AI,199.19,35.1,eu-west-1
2025-02-05,Client_5,AWS,Networking,480.98,22.81,us-east-1
2025-02-06,Client_9,GCP,AI,453.62,93.83,us-east-1
2025-02-07,Client_7,AWS,Database,105.94,17.59,us-west-2
2025-02-08,Client_2,Azure,Networking,43.99,-1.3,eu-west-1
2025-02-09,Client_4,Azure,Database,59.38,8.07,asia-south-1
2025-02-10,Client_9,OCI,Compute,18.93,0.32,eu-west-1
2025-02-11,Client_2,Azure,Compute,56.28,9.2,us-west-2
2025-02-12,Client_10,GCP,Networking,344.67,20.65,us-west-2
2025-02-13,Client_9,AWS,Networking,44.88,5.63,eu-west-1
2025-02-14,Client_10,OCI,AI,166.3,32.95,asia-south-1
2025-02-15,Client_5,AWS,AI,423.99,83.95,asia-south-1
2025-02-16,Client_2,AWS,Database,21.4,0.3,us-east-1
2025-02-17,Client_4,GCP,Networking,409.09,16.02,asia-south-1
2025-02-18,Client_7,Azure,Compute,148.11,15.5,eu-west-1
2025-02-19,Client_8,Azure,AI,67.9,16.71,us-west-2
2025-02-20,Client_3,AWS,AI,351.4,75.28,us-east-1
2025-02-21,Client_1,OCI,Compute,318.18,30.42,us-east-1
2025-02-22,Client_4,Azure,AI,439.96,88.55,us-west-2
2025-02-23,Client_2,OCI,Database,370.18,47.11,asia-south-1
2025-02-24,Client_8,Azure,Networking,403.71,24.63,us-west-2
2025-02-25,Client_4,OCI,Compute,148.2,15.35,asia-south-1
2025-02-26,Client_2,GCP,Networking,96.95,2.32,us-west-2
2025-02-27,Client_6,OCI,AI,377.8,75.07,eu-west-1
2025-02-28,Client_6,GCP,AI,405.35,77.36,asia-south-1
2025-03-01,Client_10,GCP,Compute,495.35,44.17,eu-west-1
2025-03-02,Client_4,OCI,Database,212.18,26.52,us-east-1
2025-03-03,Client_6,GCP,Storage,192.29,1.13,us-west-2
2025-03-04,Client_2,AWS,Compute,390.44,32.95,us-east-1
2025-03-05,Client_10,GCP,Storage,176.99,4.72,us-east-1
2025-03-06,Client_2,Azure,Storage,466.07,7.9,us-east-1
2025-03-07,Client_10,OCI,Database,430.62,47.81,us-east-1
